id,first_name,second_name,team,element_type,code
155,Marcus,Bettinelli,6,1,122074
157,Moisés,Caicedo Corozo,6,3,486672
158,Cesare,Casadei,6,3,505187
160,Ben,Chilwell,6,2,172850
161,Carney,Chukwuemeka,6,3,478912
162,Levi,Colwill,6,2,460028
163,Marc,Cucurella Saseta,6,2,179268
164,David Datro,Fofana,6,4,520295
165,Deivid Washington,de Souza Eugênio,6,4,617054
166,Kiernan,Dewsbury-Hall,6,3,215413
167,Axel,Disasi,6,2,220362
168,Enzo,Fernández,6,3,448047
169,Conor,Gallagher,6,3,232787
170,Alfie,Gilchrist,6,2,514280
171,Malo,Gusto,6,2,482609
172,Reece,James,6,2,225796
173,Omari,Kellyman,6,3,549068
174,Roméo,Lavia,6,3,514356
175,Romelu,Lukaku Bolingoli,6,4,66749
176,Malang,Sarr,6,2,204727
177,Noni,Madueke,6,3,248857
178,Marc,Guiu Paz,6,4,499309
179,Mykhailo,Mudryk,6,3,465920
180,Nicolas,Jackson,6,4,517052
181,Christopher,Nkunku,6,3,213198
182,Cole,Palmer,6,3,244851
183,Đorđe,Petrović,6,1,457569
184,Renato,Palma Veiga,6,3,551230
185,Robert,Sánchez,6,1,215059
187,Tosin,Adarabioyo,6,2,109646
189,Wesley,Fofana,6,2,444463
386,Jadon,Sancho,6,3,209243
560,Pedro,Lomba Neto,6,3,247632
575,Caleb,Wiley,6,2,488464
581,Filip,Jørgensen,6,1,508479
621,João,Félix Sequeira,6,3,428399
11,Eddie,Nketiah,7,4,205533
159,Trevoh,Chalobah,7,2,180736
190,Naouirou,Ahamada,7,3,466117
193,Cheick,Doucouré,7,3,438464
194,Chris,Richards,7,2,427623
195,Chadi,Riad Dnanou,7,2,515621
196,Nathaniel,Clyne,7,2,57328
197,Malcolm,Ebiowei,7,3,450535
199,Eberechi,Eze,7,3,232413
200,Marc,Guéhi,7,2,209036
201,Dean,Henderson,7,1,172649
202,Rob,Holding,7,2,156074
203,Will,Hughes,7,3,108413
205,Daichi,Kamada,7,3,209400
206,Jefferson,Lerma Solís,7,3,152551
207,Jean-Philippe,Mateta,7,4,231747
