season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
2022/23,461416,45,45,2,23,0,0,0,1,0,0,0,0,0,0,0,7,5.0,11.6,21.0,3.8,0,0.09,0.0,0.09,0.44
2023/24,461416,45,45,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.28
2014/15,84939,60,55,139,3025,11,4,8,47,0,0,0,6,0,0,20,439,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2015/16,84939,75,69,21,340,2,0,0,7,0,0,0,1,0,0,5,68,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2016/17,84939,60,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2017/18,84939,55,54,18,262,1,1,3,0,0,0,0,0,0,0,0,53,57.8,42.0,143.0,24.0,0,0.0,0.0,0.0,0.0
2018/19,84939,55,54,90,1650,7,3,5,27,0,0,0,1,0,0,11,310,433.8,346.9,808.0,158.4,0,0.0,0.0,0.0,0.0
2019/20,84939,60,76,198,2800,22,2,6,44,0,0,1,3,0,0,40,736,1010.0,458.3,1558.0,302.4,0,0.0,0.0,0.0,0.0
2020/21,84939,85,84,131,2172,12,4,6,40,0,0,0,1,0,0,21,464,634.6,300.7,866.0,178.4,0,0.0,0.0,0.0,0.0
2021/22,84939,80,77,106,1891,7,6,10,26,0,0,0,4,0,0,12,344,448.6,210.9,749.0,140.3,0,0.0,0.0,0.0,0.0
2022/23,84939,70,63,97,1579,8,2,5,26,0,0,0,4,0,0,13,317,412.2,207.1,620.0,123.7,15,8.43,1.27,9.7,26.29
2023/24,84939,60,55,36,389,1,2,0,10,0,0,0,1,0,0,4,105,82.4,64.4,125.0,27.1,3,1.18,0.26,1.44,10.43
2022/23,244042,55,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2023/24,244042,45,43,97,1589,9,2,6,27,0,0,0,1,0,0,12,299,409.0,213.1,875.0,148.2,18,8.76,0.94,9.7,26.67
2018/19,102057,55,69,181,3112,13,10,12,40,0,0,0,4,0,0,31,602,788.8,648.5,1428.0,285.4,0,0.0,0.0,0.0,0.0
2019/20,102057,75,80,194,3241,17,7,15,36,0,0,0,3,0,0,33,685,911.6,668.2,1680.0,325.4,0,0.0,0.0,0.0,0.0
2020/21,102057,85,81,43,824,4,1,4,10,1,0,0,0,0,0,7,148,177.4,96.2,275.0,55.0,0,0.0,0.0,0.0,0.0
2021/22,102057,75,75,101,2630,6,5,11,32,0,0,0,5,2,0,11,266,470.8,506.7,746.0,171.2,0,0.0,0.0,0.0,0.0
2022/23,102057,70,65,29,839,0,2,2,18,0,0,0,0,0,0,0,65,74.6,117.1,277.0,46.7,8,2.55,0.55,3.1,16.0
2023/24,102057,55,50,72,1390,7,0,4,29,0,0,0,3,1,0,13,237,335.8,185.9,440.0,95.1,18,5.37,0.96,6.33,37.43
2017/18,212319,60,58,125,2817,5,8,8,54,0,0,0,4,0,0,4,304,497.0,384.7,1217.0,209.3,0,0.0,0.0,0.0,0.0
2018/19,212319,65,64,153,2662,13,3,11,36,0,0,0,5,1,0,12,400,698.4,350.7,1209.0,224.5,0,0.0,0.0,0.0,0.0
2019/20,212319,80,82,165,3070,13,5,9,51,0,0,0,8,0,0,13,519,814.6,478.1,1233.0,252.3,0,0.0,0.0,0.0,0.0
2020/21,212319,80,77,123,2862,7,6,11,38,0,0,0,4,1,0,18,415,576.4,359.7,1147.0,208.3,0,0.0,0.0,0.0,0.0
2021/22,212319,75,76,125,2522,10,6,7,46,0,0,0,9,0,0,19,413,651.4,383.7,1010.0,203.9,0,0.0,0.0,0.0,0.0
2022/23,212319,85,84,54,995,1,5,3,18,0,0,0,3,0,0,2,165,209.8,221.5,435.0,86.3,12,3.43,1.46,4.89,14.99
2023/24,212319,70,68,122,1481,11,4,7,18,0,0,0,3,0,0,7,305,560.6,208.4,758.0,152.1,18,9.49,1.42,10.91,25.59
2022/23,476888,55,53,32,538,1,2,0,10,0,0,0,1,0,0,0,90,104.8,77.5,169.0,33.9,4,1.02,0.31,1.33,9.39
2015/16,144485,45,42,2,12,0,0,0,1,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2021/22,144485,65,69,139,2908,12,5,8,47,0,0,0,8,0,0,19,502,717.8,573.6,1320.0,260.7,0,0.0,0.0,0.0,0.0
2022/23,144485,70,71,182,2953,20,4,10,42,0,0,1,9,0,0,35,607,926.8,424.3,1240.0,258.7,33,18.74,3.72,22.46,43.65
2023/24,144485,80,77,57,1449,4,3,3,30,0,0,0,5,0,0,4,159,289.6,206.5,524.0,101.7,16,5.72,1.51,7.23,27.82
2022/23,490146,45,45,7,85,0,1,0,2,0,0,0,0,0,0,0,22,8.4,12.8,46.0,6.7,1,0.25,0.03,0.28,1.8
2023/24,490146,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2021/22,433979,45,45,3,24,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.8,18.0,1.6,0,0.0,0.0,0.0,0.0
2022/23,433979,45,42,6,43,0,0,0,1,0,0,0,0,0,0,0,13,1.8,2.4,6.0,0.9,0,0.0,0.01,0.01,0.37
2023/24,433979,45,42,82,1829,4,3,2,50,0,0,0,2,0,0,9,241,266.0,309.3,353.0,92.8,21,5.28,1.39,6.67,41.38
2021/22,487117,45,45,1,22,0,0,0,1,0,0,0,0,0,0,0,4,2.0,4.8,2.0,0.9,0,0.0,0.0,0.0,0.0
2022/23,487117,45,46,65,942,6,2,6,12,0,0,0,1,0,0,8,213,286.2,150.4,361.0,79.9,10,5.44,0.54,5.98,13.45
2023/24,487117,60,57,69,1356,6,1,2,28,0,0,0,1,0,0,5,218,275.0,106.7,393.0,77.3,15,4.49,0.77,5.26,22.16
