second_name_defender,season_name,element_code,start_cost,end_cost,goals_scored,assists,minutes,clean_sheets,goals_conceded,expected_goal_involvements,goals_scored_per_90,assists_per_90,expected_goals,expected_assists,expected_goals_per_90,expected_assists_per_90,yellow_cards,red_cards,total_points,ict_index,influence,creativity,threat,bonus,penalties_missed,penalties_saved,starts,clean_sheets_per_90,defensive_effectiveness,expected_goals_conceded,goals_conceded_per_90,defensive_effectiveness_trend,goals_conceded_trend,clean_sheets_trend,first_name_defender,id_defender,id_ref,second_name_ref,first_name_ref,ACR,EAC,OII,OE,OAI,MOA,Assist Efficiency,OII_Assist_Interaction,DCB,OASIS
Hill,2023,463981,40,40,0,0,74,0,1,0.01,0.0,0.0,0.0,0.01,0.0,0.0121621621621621,0,0,5,3.5,32.6,2.2,0.0,0,0,0,1,0.0,-0.4864864864864865,1.34,1.2162162162162162,,,,James,68,68,Hill,James,0.0,0.0121621621621621,0.44000000000000006,0.0,10.479999999999999,7400.0,0.0,0.0,0.0,2.272
Holding,2016,156074,45,41,2,2,6974,22,99,0.47,0.0381836008424722,0.020726800993855,0.32,0.15,0.007320793085917628,0.0034316217590238856,12,1,254,32.728571428571435,244.74285714285716,31.0,51.0,23,0,0,6,0.23462970013522702,-0.4765177749838912,11.14,1.425924137594955,-0.05511910476119852,1.1333333333333335,-0.16666666666666666,Rob,202,202,Holding,Rob,0.0005735589331803843,0.010752414844941514,11.321491480635146,1.8501901070334976e-05,105.46857142857142,1560.178970917226,0.0019118631106012811,0.021645141918813015,3.982822945039601,25.622674131959357
Holgate,2016,194164,45,41,3,7,10650,30,185,1.92,0.015469783049270725,0.04067805622296504,1.55,0.37,0.030935733226597276,0.0069442012308000125,31,3,326,42.475,275.225,72.2125,77.0,19,0,0,14,0.22157875693014734,-0.6002561615517981,28.9,1.7222191608096424,-0.04728634835665846,1.542857142857143,-0.11428571428571425,Mason,225,225,Holgate,Mason,0.0009389671361502347,0.03787993445739729,22.1608913300866,1.3002833805092396e-05,129.5625,893.4563758389262,0.0017764243116355793,0.039367146126279964,3.9463452165240236,34.77731586460665
James,2019,225796,50,49,7,18,7398,23,104,5.65,0.07040649510479233,0.24913523833954548,1.36,4.29,0.028343088071348922,0.10130992196209584,12,3,369,110.02000000000001,381.15999999999997,477.9599999999999,239.2,51,0,0,19,0.22466207113332848,-0.5165918527025612,25.42,1.5161417028897315,-0.021863194963719745,-0.5499999999999998,-0.10000000000000009,Reece,172,172,James,Reece,0.0033792917004595835,0.12965301003344476,119.61490316954377,7.0702395607573525e-06,255.952,241.37030995106036,0.0005671538518253847,0.06784005306832716,0.7030758352334695,99.03743177071284
Johnson,2018,222018,40,40,2,0,3643,7,61,0.8200000000000001,0.03980706164372158,0.0,0.31,0.51,0.008016771850955284,0.01004365868418775,3,0,127,20.0,117.86666666666667,60.833333333333336,21.0,2,0,0,13,0.1240464118698697,-0.5765462196165897,28.689999999999998,1.5654119609113437,0.0009837460016958815,2.2,0.27999999999999997,Ben,275,275,Johnson,Ben,0.0005489980785067252,0.018060430535143036,14.282589491324156,9.024625948055756e-06,49.86,1291.8439716312055,0.0,0.0,3.116191116543626,15.685200495953216
Jorgensen,2017,48760,45,45,5,5,8266,20,145,2.77,0.07660968057583852,0.04058165152961944,2.0700000000000003,0.7000000000000001,0.0340883474266835,0.011577280075746479,20,0,266,55.839999999999996,368.12,81.12,107.8,20,0,0,23,0.21144939119320597,-0.562060359871534,39.45,1.6166002908720412,-0.014199300494199275,-7.25,-1.5,Mathias,112,112,Jorgensen,Mathias,0.0012097749818533753,0.04566562750242998,27.046818367689223,1.4913399677679674e-05,175.504,647.2983555207518,0.0008641249870381251,0.023371831571401974,1.8043091361307098,45.91997669206895
Justin,2019,220627,50,47,2,5,5328,20,77,0.8,0.0217391304347826,0.07995885017033443,0.31,0.49,0.005571086261980825,0.008805910543130974,5,0,210,56.7,277.8,190.175,98.25,16,0,0,14,0.32197195077112595,-0.4018416866949574,21.31,1.3265761675085197,-0.015135347710200336,1.75,0.3333333333333333,James,295,295,Justin,James,0.001313813813813814,0.0143769968051118,47.89268330722502,6.908446503556271e-06,143.805,683.0769230769231,0.0019151804866090582,0.09172313252134473,3.165962085533541,47.91865898508282
Kaboré,2023,476369,40,40,0,3,1727,0,39,2.09,0.0,0.1563404748118124,0.22,1.87,0.0114649681528662,0.097452229299363,7,0,34,64.0,326.6,253.0,62.0,3,0,0,21,0.0,-0.8129704690214243,38.04,2.032426172553561,,,,Issa,626,626,Kaboré,Issa,0.0017371163867979154,0.10891719745222919,56.84690214244355,6.866072675090575e-06,141.78000000000003,339.2927308447937,0.00092893924427696,0.05280731831568781,0.0,51.0953748858179
Keane,2014,106611,45,42,13,10,20080,61,335,2.74,0.07138280817366155,0.05075278459590038,1.85,0.8899999999999999,0.02593773788267829,0.00981653789478339,21,1,739,82.12222222222222,544.7333333333333,63.14444444444444,212.0,76,0,0,14,0.2511104495152526,-0.5610385290038022,34.79,1.653706772024758,-0.011428859275397074,0.9749999999999996,0.475,Michael,228,228,Keane,Michael,0.001145418326693227,0.03575427577746168,33.87266784753712,1.8139653246945354e-05,285.8444444444444,780.10878010878,0.0005595595147499889,0.018953773584055422,2.0559973044797237,70.71835560935322
Kelly,2019,235530,45,44,0,3,4231,10,85,1.98,0.0,0.04872921480246956,0.51,1.47,0.009067933032839632,0.025168554221430967,7,0,119,38.46666666666667,257.40000000000003,94.73333333333335,31.333333333333332,10,0,0,40,0.19782115572472256,-0.6737959721531399,60.96,1.8823110861075723,0.05808633994223885,6.666666666666666,1.1666666666666667,Lloyd,404,404,Kelly,Lloyd,0.0007090522335145356,0.0342364872542706,22.094618764440742,7.484717454411e-06,100.58000000000001,849.5983935742971,0.00048234845817315345,0.010657305294951618,4.059600724670349,28.954108456292172
