second_name_defender,season_name,element_code,start_cost,end_cost,goals_scored,assists,minutes,expected_goal_involvements,goals_scored_per_90,assists_per_90,expected_goals,expected_assists,expected_goals_per_90,expected_assists_per_90,yellow_cards,red_cards,total_points,ict_index,influence,creativity,threat,penalties_missed,penalties_saved,starts,clean_sheets_per_90,defensive_effectiveness,goals_conceded_per_90,defensive_effectiveness_trend,goals_conceded_trend,clean_sheets_trend,first_name_defender,id_defender,second_name_ref,first_name_ref,DS,DSS
Badiashile,2022,242880,50,50,1,1,2241,2.65,0.0497787610619469,0.03365744203440535,1.53,1.12,0.07180874828734256,0.0409205988840423,5,0,75,41.3,278.1,68.25,66.0,0,0,25,0.30008737035100375,-0.47652087290923417,1.491389552624089,-0.2774058286614466,11.0,-0.5,Benoît,153,Badiashile,Benoît,0.16666666666666666,0.17515424047161451
Barbosa Pereira,2018,111931,50,53,7,15,8038,0.82,0.09104907533599453,0.17371991164991712,0.12,0.7,0.00478935698447892,0.02793791574279378,16,0,351,91.2,447.68,273.26,191.2,0,0,5,0.18498312627506253,-0.5713565322945574,1.613374457011456,-0.04197457975951832,-5.15,-1.35,Ricardo,302,Barbosa Pereira,Ricardo,0.058823529411764705,0.09301436863418977
Barco,2023,543158,40,40,0,0,307,0.58,0.0,0.0,0.2,0.38,0.0586319218241042,0.111400651465798,1,0,5,15.5,44.8,69.6,39.0,0,0,3,0.0,-1.0553745928338762,2.6384364820846904,-0.04197457975951832,-5.15,-1.35,Valentín,116,Barco,Valentín,0.5,-0.1286219194620304
Bassey,2023,232892,45,44,1,0,2299,0.53,0.039147455415398,0.0,0.37,0.16,0.0144845585036972,0.0062635928664636,4,1,66,55.0,462.8,34.8,50.0,0,0,25,0.234884732492388,-0.5637233579817311,1.644193127446716,-0.04197457975951832,-5.15,-1.35,Calvin,241,Bassey,Calvin,0.14285714285714285,0.11815385520257025
Bednarek,2017,171771,45,41,7,3,13133,0.68,0.0676966525610838,0.016722225207921184,0.42,0.26,0.0035593220338982997,0.0022033898305084667,32,1,375,73.33333333333333,548.8333333333334,59.666666666666664,122.83333333333333,0,0,21,0.23444649947842866,-0.565878735172621,1.6491433374099806,-0.07510832032901679,8.92,0.76,Jan,455,Bednarek,Jan,0.02857142857142857,0.11729165818829057
Bella-Kotchap,2022,477386,45,45,0,2,1881,1.49,0.0,0.0956937799043062,1.05,0.44,0.0502392344497607,0.0210526315789473,4,0,49,60.6,422.4,76.4,105.0,0,0,24,0.1435406698564593,-0.6889952153110048,1.8660287081339717,-0.07510832032901679,8.92,0.76,Armel,456,Bella-Kotchap,Armel,0.2,0.03864574929507708
Boly,2018,90585,45,47,7,4,10048,2.65,0.047799190326447395,0.047926965163045426,1.61,1.04,0.017380416071493966,0.013958630919679133,9,3,397,65.61666666666666,445.93333333333334,68.2,141.66666666666666,0,0,27,0.2904570772105549,-0.43292568715552066,1.3727712950993567,-0.008447619462779481,-4.6,-0.6,Willy,425,Boly,Willy,0.0625,0.18507783698330926
Botman,2022,220237,45,45,2,4,4502,5.0,0.06545454545454545,0.09423612524348049,3.37,1.6300000000000001,0.05986558130069475,0.03335868825769685,4,0,180,78.25,484.9,91.6,203.5,0,0,50,0.2852620868098962,-0.4382210076460157,1.3808146059249355,-0.242506265081257,-0.5,-5.0,Sven,393,Botman,Sven,0.2,0.18099413335212233
Bradley,2023,492777,40,41,1,3,752,2.15,0.1196808510638297,0.3590425531914893,0.91,1.24,0.1089095744680851,0.1484042553191489,2,0,50,60.6,230.4,215.8,160.0,0,0,10,0.3590425531914893,-0.1914893617021277,0.8377659574468085,-0.242506265081257,-0.5,-5.0,Conor,313,Bradley,Conor,0.3333333333333333,0.30446508298180247
Branthwaite,2019,480455,40,40,4,1,3802,2.91,0.106402563413639,0.0096277278562259,1.62,1.29,0.015596919127086,0.012419768934531434,8,1,142,41.666666666666664,315.2,24.066666666666666,76.33333333333333,0,0,35,0.21586718243524627,-0.8510355958264987,2.3434561720014924,-0.12451445343164395,8.166666666666666,1.6666666666666665,Jarrad,219,Branthwaite,Jarrad,0.09090909090909091,0.02745398291734874
Bree,2022,184386,45,45,0,0,366,0.34,0.0,0.0,0.03,0.31,0.0073770491803278,0.0762295081967213,1,0,4,14.0,63.8,66.2,11.0,0,0,4,0.0,-1.1803278688524592,2.950819672131148,-0.12451445343164395,8.166666666666666,1.6666666666666665,James,457,Bree,James,0.5,-0.16013196381198566
Bueno,2023,231480,45,45,0,0,819,0.01,0.0,0.0,0.0,0.01,0.0,0.001098901098901,1,0,13,20.3,173.8,27.1,2.0,0,0,9,0.0,-0.7912087912087913,1.978021978021978,-0.12451445343164395,8.166666666666666,1.6666666666666665,Santiago,564,Bueno,Santiago,0.5,-0.057503750861684466
Bueno López,2022,490721,40,38,0,1,2034,2.16,0.0,0.03442999234889055,0.48,1.6800000000000002,0.025041544366436547,0.07652077639290705,2,0,70,43.1,181.7,195.64999999999998,53.0,0,0,23,0.2270864007055438,-0.704701906673304,1.9888411673888038,0.0114419341836202,-6.5,-0.5,Hugo,549,Bueno López,Hugo,0.3333333333333333,0.07297616882113678
Burn,2013,78916,40,40,5,3,13838,7.869999999999999,0.029221133155653084,0.01710425761139835,5.470000000000001,2.4000000000000004,0.028668736223039917,0.012340756784830065,27,0,476,81.89999999999999,466.2,160.5,192.83333333333334,0,0,67,0.2570826017169585,-0.4744139057515422,1.4431173660958139,0.14235153576625262,3.4,1.8399999999999999,Dan,395,Burn,Dan,0.03571428571428571,0.1564524567343769
Cabral Semedo,2020,200402,55,51,1,7,10831,4.09,0.00754274220583305,0.056323475073507025,1.5,2.6,0.011605902559699451,0.020106067334534274,27,2,341,101.25,476.3,331.825,204.0,0,0,67,0.2677521724880804,-0.4326036208926867,1.3492612247197973,0.0006194433877657335,-1.0,-0.4166666666666667,Nélson,559,Cabral Semedo,Nélson,0.03125,0.1750550818085816
Casey,2023,518438,40,40,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.2,2.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0006194433877657335,-1.0,-0.4166666666666667,Kaelan,643,Casey,Kaelan,1.0,0.3
