season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,id,first_name,second_name,unique_id
2023/24,463210,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,458,Shea,Charles,463210_2023/24
2023/24,475480,45,45,4,37,0,0,0,1,0,0,0,1,0,0,0,10,4.6,12.6,4.0,1.9,0,0.02,0.1,0.12,0.8,114,Benicio,Baker-Boaitey,475480_2023/24
2021/22,428580,50,49,35,1040,0,2,3,19,0,0,0,4,0,0,0,117,93.0,73.5,174.0,33.7,0,0.0,0.0,0.0,0.0,102,Frank,Onyeka,428580_2021/22
2022/23,428580,50,48,38,837,0,3,3,11,0,0,0,0,0,0,0,111,136.4,93.7,111.0,34.2,8,1.03,0.78,1.81,15.65,102,Frank,Onyeka,428580_2022/23
2023/24,428580,50,49,39,1147,1,2,1,27,0,0,0,8,0,0,0,150,259.0,178.3,189.0,62.6,11,2.09,1.44,3.53,21.94,102,Frank,Onyeka,428580_2023/24
2013/14,118748,65,55,31,501,2,1,2,2,0,0,0,1,0,0,3,25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,328,Mohamed,Salah,118748_2013/14
2014/15,118748,65,60,3,33,0,0,0,3,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,328,Mohamed,Salah,118748_2014/15
2017/18,118748,90,106,303,2905,32,12,15,29,0,0,1,1,0,0,26,881,1496.2,942.5,2109.0,454.4,0,0.0,0.0,0.0,0.0,328,Mohamed,Salah,118748_2017/18
2018/19,118748,130,132,259,3254,22,12,21,20,0,0,0,1,0,0,18,687,1186.8,973.9,2168.0,432.7,0,0.0,0.0,0.0,0.0,328,Mohamed,Salah,118748_2018/19
2019/20,118748,125,125,233,2879,19,10,16,26,0,0,0,1,0,0,26,661,1061.2,834.8,2156.0,405.1,0,0.0,0.0,0.0,0.0,328,Mohamed,Salah,118748_2019/20
2020/21,118748,120,129,231,3077,22,6,11,41,0,0,0,0,0,0,21,657,1056.0,825.7,1980.0,385.8,0,0.0,0.0,0.0,0.0,328,Mohamed,Salah,118748_2020/21
2021/22,118748,125,131,265,2758,23,14,17,22,0,0,1,1,0,0,29,756,1241.0,875.9,2230.0,434.8,0,0.0,0.0,0.0,0.0,328,Mohamed,Salah,118748_2021/22
2022/23,118748,130,131,239,3290,19,13,13,45,0,0,2,2,0,0,23,651,1067.4,899.2,1688.0,365.6,37,21.01,7.03,28.04,47.47,328,Mohamed,Salah,118748_2022/23
2023/24,118748,125,134,211,2531,18,12,8,30,0,0,2,2,0,0,24,621,1033.8,892.2,1531.0,346.0,28,20.89,7.47,28.36,32.22,328,Mohamed,Salah,118748_2023/24
2016/17,203341,50,46,59,1521,2,3,4,28,0,0,0,0,0,0,2,288,313.6,93.8,357.0,76.4,0,0.0,0.0,0.0,0.0,300,Wilfred,Ndidi,203341_2016/17
2017/18,203341,50,49,78,2896,0,4,9,45,0,0,0,6,2,0,4,449,640.4,230.7,299.0,117.2,0,0.0,0.0,0.0,0.0,300,Wilfred,Ndidi,203341_2017/18
2018/19,203341,50,49,89,3295,2,0,9,47,0,0,0,8,0,0,4,571,726.0,342.4,346.0,141.6,0,0.0,0.0,0.0,0.0,300,Wilfred,Ndidi,203341_2018/19
