id,first_name,second_name,element_code
79,Marcos,Senesi,221466
80,Luis,Sinisterra,224995
81,Adam,Smith,54469
83,Marcus,Tavernier,201658
84,Mark,Travers,229600
85,Illia,Zabarnyi,477580
152,Kepa,Arrizabalaga,109745
580,Dean,Huijsen,554605
592,Julián,Araujo Zúñiga,436893
599,Will,Dennis,444172
617,Francisco Evanilson,de Lima Barbosa,444102
86,Kristoffer,Ajer,191866
87,Ethan,Brierley,494041
88,Nathan,Collins,432830
89,Mikkel,Damsgaard,440089
90,Josh,Dasilva,183656
91,Mark,Flekken,118342
92,Rico,Henry,194010
93,Aaron,Hickey,472713
94,Vitaly,Janelt,204580
95,Mathias,Jensen,207283
96,Kim,Ji-soo,570241
97,Yunus Emre,Konak,628204
98,Keane,Lewis-Potter,249231
99,Bryan,Mbeumo,446008
100,Ben,Mee,51927
101,Christian,Nørgaard,128295
102,Frank,Onyeka,428580
103,Myles,Peart-Harris,450539
104,Ethan,Pinnock,231065
105,Mads,Roerslev Rasmussen,226956
106,Kevin,Schade,513418
107,Igor Thiago,Nascimento Rodrigues,502500
108,Ivan,Toney,144485
109,Hákon,Valdimarsson,507433
110,Yoane,Wissa,216646
111,Yehor,Yarmoliuk,508395
112,Mathias,Jorgensen,48760
314,Fábio,Freitas Gouveia Carvalho,244858
338,Sepp,van den Berg,444765
602,Ryan,Trevitt,591357
634,Gustavo,Nunes Fernandes Gomes,626464
649,Jayden,Meghoma,499717
113,Simon,Adingra,535818
114,Benicio,Baker-Boaitey,475480
115,Carlos,Baleba,535301
116,Valentín,Barco,543158
118,Amario,Cozier-Duberry,519324
119,Mahmoud,Dahoud,168090
120,Lewis,Dunk,83299
121,Julio,Enciso,474120
122,Pervis,Estupiñán,204214
123,Evan,Ferguson,487117
124,Billy,Gilmour,243568
125,Pascal,Groß,60307
126,Jack,Hinshelwood,532529
127,Ibrahim,Osman,612855
128,Igor Julio,dos Santos de Paulo,223434
129,João Pedro,Junqueira de Jesus,475168
130,Kacper,Kozłowski,484658
131,Tariq,Lamptey,232792
132,Solly,March,109345
133,Adrian,Mazilu,550141
134,James,Milner,15157
135,Yankuba,Minteh,592031
136,Mitoma,Kaoru,451340
137,Jakub,Moder,243505
138,Mark,O’Mahony,574402
139,Odeluga,Offiah,445548
140,Cameron,Peupion,491598
141,Jeremy,Sarmiento Morante,441192
142,Jason,Steele,49262
143,Deniz,Undav,450434
144,Jan Paul,van Hecke,469142
145,Joël,Veltman,111478
146,Bart,Verbruggen,489639
147,Adam,Webster,110735
148,Danny,Welbeck,50175
149,Mats,Wieffer,467779
595,Brajan,Gruda,513433
600,Yasin,Ayari,509416
601,Andrew,Moran,513834
615,Carl,Rushworth,472739
618,Georginio,Rutter,463067
628,Ferdi,Kadioglu,231416
629,Matt,O'Riley,219249
150,Andrey,Nascimento dos Santos,532605
151,Ângelo Gabriel,Borges Damaceno,518620
153,Benoît,Badiashile,242880
154,Lucas,Bergström,482158
155,Marcus,Bettinelli,122074
157,Moisés,Caicedo Corozo,486672
158,Cesare,Casadei,505187
160,Ben,Chilwell,172850
161,Carney,Chukwuemeka,478912
162,Levi,Colwill,460028
163,Marc,Cucurella Saseta,179268
164,David Datro,Fofana,520295
165,Deivid Washington,de Souza Eugênio,617054
166,Kiernan,Dewsbury-Hall,215413
167,Axel,Disasi,220362
168,Enzo,Fernández,448047
169,Conor,Gallagher,232787
170,Alfie,Gilchrist,514280
171,Malo,Gusto,482609
172,Reece,James,225796
173,Omari,Kellyman,549068
174,Roméo,Lavia,514356
175,Romelu,Lukaku Bolingoli,66749
176,Malang,Sarr,204727
177,Noni,Madueke,248857
178,Marc,Guiu Paz,499309
179,Mykhailo,Mudryk,465920
180,Nicolas,Jackson,517052
181,Christopher,Nkunku,213198
