,id,first_name,second_name,team,element_type,code,element_code,season,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
51,155,Marcus,Bettinelli,6,1,122074,122074,2013,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
52,155,Marcus,Bettinelli,6,1,122074,122074,2018,45,42,15,630,0,0,0,20,0,1,0,1,0,20,0,114,195.0,0.0,0,19.4,0,0.0,0.0,0.0,0.0
53,155,Marcus,Bettinelli,6,1,122074,122074,2020,45,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
54,155,Marcus,Bettinelli,6,1,122074,122074,2021,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
55,155,Marcus,Bettinelli,6,1,122074,122074,2022,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
56,155,Marcus,Bettinelli,6,1,122074,122074,2023,40,40,-1,0,0,0,0,0,0,0,0,1,0,0,0,-3,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0
57,183,Đorđe,Petrović,6,1,457569,457569,2023,45,47,71,1986,0,0,5,38,0,0,0,2,0,75,5,414,567.8,0.0,0,56.8,22,0.0,0.0,0.0,34.93
58,185,Robert,Sánchez,6,1,215059,215059,2020,45,45,101,2430,0,0,10,27,0,0,0,2,0,66,8,514,542.2,10.0,4,55.8,0,0.0,0.0,0.0,0.0
59,185,Robert,Sánchez,6,1,215059,215059,2021,45,45,126,3330,0,0,11,42,0,0,0,3,1,101,8,679,811.0,30.0,0,84.0,0,0.0,0.0,0.0,0.0
60,185,Robert,Sánchez,6,1,215059,215059,2022,45,44,82,2070,0,0,6,30,0,1,0,2,0,48,10,380,439.0,0.1,0,43.9,23,0.0,0.01,0.01,27.6
