season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
2023/24,101982,45,43,68,1796,0,0,6,27,0,0,0,1,0,41,7,310,321.4,0,0,32.2,20,0,0,0,27.17
2022/23,88248,40,37,23,270,0,0,2,1,0,0,0,0,0,14,5,90,116.8,0,0,11.7,3,0,0,0,4.12
2023/24,88248,40,36,22,632,0,0,1,7,0,0,0,0,0,20,2,114,171.2,0,0,17.3,5,0,0,0,7.17
2006/07,21205,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007/08,21205,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014/15,21205,45,47,150,3420,0,0,10,53,0,2,0,1,0,127,11,615,0,0,0,0,0,0,0,0,0
2016/17,21205,45,51,149,3150,0,0,10,48,0,1,0,1,0,142,21,741,1001.6,30.3,0,103.2,0,0,0,0,0
2017/18,21205,50,47,8,305,0,0,0,4,0,0,0,0,0,8,0,48,53.4,0,0,5.3,0,0,0,0,0
2018/19,21205,50,48,58,1710,0,0,4,27,0,0,0,3,0,63,4,323,442.8,20.1,4,46.6,0,0,0,0,0
2019/20,21205,45,43,59,1794,0,0,4,35,1,0,0,0,0,67,3,346,507.4,0.3,0,50.7,0,0,0,0,0
2020/21,21205,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/22,21205,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/23,21205,40,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/24,21205,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/24,111452,45,45,12,450,0,0,1,12,0,0,0,0,0,10,0,79,101.8,10,0,11.2,5,0,0.01,0.01,7.48
2022/23,444172,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/20,172649,45,52,160,3240,0,1,13,33,0,1,0,2,0,97,16,688,718.8,10,18,74.8,0,0,0,0,0
2020/21,172649,55,52,44,1125,0,0,4,12,0,0,0,3,0,40,1,218,275.4,0,0,27.5,0,0,0,0,0
2021/22,172649,50,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/23,172649,45,46,82,1620,0,0,6,31,0,2,0,2,0,54,12,367,474.4,0,0,47.5,18,0,0.01,0.01,26.97
2023/24,172649,45,44,48,1620,0,0,4,30,2,0,0,2,0,58,2,293,434.8,0,0,43.7,18,0,0.01,0.01,26.47
2016/17,98747,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/18,98747,45,50,152,3114,0,0,11,35,0,1,0,3,0,113,19,701,862.4,40,0,90.1,0,0,0,0,0
2018/19,98747,50,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/20,98747,45,52,170,3420,0,0,15,50,0,1,0,1,0,120,23,789,900,30.3,2,93.1,0,0,0,0,0
2020/21,98747,55,55,144,2880,0,0,11,37,0,0,0,1,0,114,20,652,846.6,20,2,86.8,0,0,0,0,0
2021/22,98747,55,53,130,3240,0,0,9,47,0,0,0,1,0,120,12,683,902.8,20,0,92.4,0,0,0,0,0
2022/23,98747,50,54,157,3261,0,0,14,32,0,2,0,3,1,87,14,678,709.6,20,0,72.9,37,0,0.01,0.01,39.44
2023/24,98747,55,53,57,1345,0,0,6,16,0,0,0,1,0,43,1,279,323,0,4,32.7,15,0.02,0,0.02,15.92
2022/23,69752,45,45,93,2385,0,0,6,39,0,0,0,4,0,100,9,510,727.6,0,0,72.8,27,0,0.02,0.02,44.7
2023/24,69752,45,46,110,2880,0,0,7,55,0,1,0,5,0,113,14,592,875.2,0,0,87.5,32,0,0.01,0.01,49.66
2017/18,121160,55,57,158,3195,0,0,16,26,0,2,0,1,0,58,10,666,546.2,10,0,55.6,0,0,0,0,0
2018/19,121160,55,57,169,3420,0,1,20,23,0,0,0,2,0,58,6,700,535.2,33,0,56.8,0,0,0,0,0
2019/20,121160,60,61,133,3071,0,0,16,31,0,0,0,3,1,68,2,645,608.6,16,0,62.3,0,0,0,0,0
2020/21,121160,60,61,160,3240,0,1,19,28,0,1,0,3,0,66,3,696,586,10,0,59.6,0,0,0,0,0
2021/22,121160,60,62,155,3330,0,0,20,26,0,0,0,3,0,60,4,701,561.2,0,0,56.1,0,0,0,0,0
2022/23,121160,55,54,121,3150,0,1,11,32,0,0,0,3,0,46,8,581,508.4,13.1,0,52.1,35,0,0.22,0.22,28.08
2023/24,121160,55,55,112,2785,0,0,11,27,0,0,0,5,0,57,5,569,551.8,10,0,56,33,0,0.03,0.03,27.43
2019/20,222627,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/21,222627,45,43,2,47,0,0,0,0,0,0,0,0,0,3,0,10,25,0,0,2.5,0,0,0,0,0
2021/22,222627,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/24,222627,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/19,232917,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/24,232917,45,43,47,900,0,0,0,16,1,1,0,0,0,64,12,241,513,40.3,0,55.3,10,0,0.05,0.05,20.43
2021/22,149065,50,52,146,3285,0,1,11,40,1,0,0,3,0,121,11,722,947,30,0,97.5,0,0,0,0,0
2022/23,149065,50,50,148,3240,0,0,11,55,0,2,0,2,0,108,18,683,862.2,0,0,86.4,36,0,0,0,54.63
2023/24,149065,50,50,107,3037,0,1,4,58,0,0,0,1,0,134,8,622,1003.4,11,0,101.6,35,0,0,0,59.38
2018/19,109745,55,54,142,3240,0,0,14,39,0,1,0,2,0,82,7,685,681,0.1,0,68,0,0,0,0,0
2019/20,109745,55,54,90,2970,0,0,8,47,0,0,0,0,0,55,0,507,503.6,0,0,50.2,0,0,0,0,0
2020/21,109745,50,47,26,585,0,0,2,8,0,0,0,1,0,16,5,117,113.6,0,0,11.3,0,0,0,0,0
2021/22,109745,50,45,19,360,0,0,2,2,0,0,0,0,0,11,1,89,95.6,0,0,9.6,0,0,0,0,0
