chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id_x,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,position,value_for_money,scaled_cost,scaled_points,id_y,position,id,team_name
,,551221,0,0,0,0,0,1,3.2,3.2,0,Tommy,0.0,639,False,,,4.5,551221.jpg,,Setford,0.0,False,,a,1,3,0,115,115,34,34,0.0,0.0,Setford,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,546,68,545,60,516,59,552,68,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,496,28,553,68,553,68,629,67,0.0,0.0,1,0.0,0.04464285714285715,0.046511627906976744,1,Goalkeeper,1,Arsenal
50.0,,215711,-1,1,-1,1,0,3,0.7,1.8,1,Leon,1.3,28,False,Hamstring injury - 50% chance of playing,2024-08-31T21:00:04.558025Z,6.4,215711.jpg,0.02247191011235955,Bailey,2.4,False,,d,2,7,4,82218,1823,198096,77092,0.2,0.6,Bailey,178,0,0,0,3,0,0,0,1,0,0,0,12,14.6,45.5,30.0,8.8,3,0.25,0.24,0.49,2.26,249,108,67,52,106,65,130,78,3.0,,4.0,,,,0.13,0.0,0.12,0.25,1.14,1.52,62,42,219,113,240,121,128,42,1.52,0.0,3,0.625,0.21428571428571436,0.13953488372093023,3,Midfielder,2,Aston Villa
,,88894,-1,1,-2,2,0,3,0.7,1.2,1,Ross,0.7,29,False,,,5.3,88894.jpg,0.047619047619047616,Barkley,0.5,False,,a,2,7,2,5790,1309,37078,5660,0.1,0.4,Barkley,42,0,0,0,2,0,0,0,0,0,0,0,7,9.4,12.9,1.0,2.3,0,0.02,0.06,0.08,0.66,285,136,209,129,288,164,293,144,,,,,,,0.04,0.0,0.13,0.17,1.41,4.29,178,113,296,150,316,157,244,81,0.0,0.0,3,0.37735849056603776,0.11607142857142855,0.09302325581395349,3,Midfielder,2,Aston Villa
0.0,0.0,491287,0,0,-1,1,0,3,0.0,0.0,0,Enzo,0.0,30,False,Loaned to Valencia CF,2024-08-31T06:33:47.934620Z,4.9,491287.jpg,,Barrenechea,0.0,False,,u,2,7,0,872,0,3377,1172,0.0,0.0,Barrenechea,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,586,260,582,262,560,249,591,264,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,333,221,589,263,589,263,549,229,0.0,0.0,3,0.0,0.0803571428571429,0.046511627906976744,3,Midfielder,2,Aston Villa
,,195546,0,0,-1,1,0,3,0.0,0.5,0,Emiliano,0.0,31,False,,,5.4,195546.jpg,,Buendía Stati,0.1,False,,a,2,7,0,1808,420,6453,1146,0.0,0.0,Buendia,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,624,281,623,283,613,277,627,284,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,157,96,623,283,623,283,448,161,0.0,0.0,3,0.0,0.12500000000000006,0.046511627906976744,3,Midfielder,2,Aston Villa
0.0,0.0,199796,-1,1,-1,1,0,2,0.0,0.0,0,Matty,1.0,32,False,Hamstring injury - Expected back 21 Sep,2024-08-24T21:30:05.205042Z,4.4,199796.jpg,0.03125,Cash,1.9,False,,i,2,7,3,38135,263,158500,41558,0.2,0.7,Cash,96,0,0,0,1,0,0,0,0,0,0,0,10,9.6,12.4,4.0,2.6,2,0.0,0.01,0.01,1.53,282,102,212,61,238,71,282,91,,,,,,,0.0,0.0,0.01,0.01,1.43,0.94,540,137,226,71,204,56,140,52,1.88,0.0,2,0.6818181818181818,0.035714285714285754,0.11627906976744186,2,Defender,2,Aston Villa
0.0,,151589,0,0,0,0,0,3,0.0,0.5,0,Leander,0.0,33,False,On loan to Anderlecht for the rest of the season,2024-09-02T10:45:36.198316Z,4.5,151589.jpg,,Dendoncker,0.8,False,,u,2,7,0,18187,4534,34541,11235,0.0,0.0,Dendoncker,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,476,184,471,189,431,168,482,189,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,373,228,483,191,483,191,210,69,0.0,0.0,3,0.0,0.04464285714285715,0.046511627906976744,3,Midfielder,2,Aston Villa
0.0,0.0,243557,0,0,0,0,0,3,0.0,0.0,0,Moussa,0.0,34,False,Permanent transfer to Al Ittihad,2024-07-26T08:50:40.300928Z,6.5,243557.jpg,,Diaby,0.0,False,,u,2,7,0,0,0,2791,219,0.0,0.0,Diaby,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,649,298,649,298,647,297,649,298,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,47,28,646,298,646,298,582,253,0.0,0.0,3,0.0,0.22321428571428575,0.046511627906976744,3,Midfielder,2,Aston Villa
50.0,0.0,165659,0,0,0,0,0,2,0.0,0.0,0,Diego Carlos,0.0,35,False,Knock - 50% chance of playing,2024-08-30T15:00:05.616651Z,4.5,165659.jpg,,Santos Silva,0.4,False,,d,2,7,0,8309,95,31220,10604,0.0,0.0,Diego Carlos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,478,190,473,190,434,176,484,191,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,378,63,485,189,485,189,273,101,0.0,0.0,2,0.0,0.04464285714285715,0.046511627906976744,2,Defender,2,Aston Villa
,,101188,0,0,0,0,1,2,3.7,4.2,7,Lucas,3.7,36,False,,,4.5,101188.jpg,0.046218487394957986,Digne,4.7,False,,a,2,7,11,288972,187843,66568,20199,0.8,2.4,Digne,238,0,1,0,3,0,0,0,0,0,0,2,45,69.4,40.9,0.0,11.0,3,0.0,0.26,0.26,2.33,47,11,78,11,424,175,98,19,4.0,,2.0,,,,0.0,0.0,0.1,0.1,0.88,1.13,362,56,63,17,71,19,80,30,1.13,0.0,2,2.4444444444444446,0.04464285714285715,0.3023255813953488,2,Defender,2,Aston Villa
0.0,0.0,461421,0,0,0,0,0,3,0.0,0.0,0,Lewis,0.0,37,False,Permanent transfer to West Bromwich Albion,2024-08-07T08:21:33.016106Z,5.0,461421.jpg,,Dobbin,0.0,False,,u,2,7,0,0,0,197,21,0.0,0.0,Dobbin,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,604,272,606,275,588,265,609,276,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,248,161,607,275,607,275,643,292,0.0,0.0,3,0.0,0.0892857142857143,0.046511627906976744,3,Midfielder,2,Aston Villa
,,462492,0,0,0,0,0,1,0.0,0.5,0,Joe,0.0,39,False,,,4.0,462492.jpg,,Gauci,0.9,False,,a,2,7,0,33946,5061,13610,3489,0.0,0.0,Gauci,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,405,49,389,27,337,24,411,49,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,624,63,410,49,410,49,205,29,0.0,0.0,1,0.0,0.0,0.046511627906976744,1,Goalkeeper,2,Aston Villa
,,123354,0,0,0,0,0,2,0.0,0.5,0,Kortney,0.0,40,False,,,4.0,123354.jpg,,Hause,0.7,False,,a,2,7,0,19086,5752,16187,4212,0.0,0.0,Hause,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,373,122,357,122,303,96,379,123,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,585,165,380,121,380,121,220,82,0.0,0.0,2,0.0,0.0,0.046511627906976744,2,Defender,2,Aston Villa
0.0,0.0,469247,0,0,-1,1,0,3,0.0,0.0,0,Samuel,0.0,41,False,Season long loan to Bologna,2024-08-29T11:07:04.555253Z,5.4,469247.jpg,,Iling-Junior,0.0,False,,u,2,7,0,342,0,4748,1031,0.0,0.0,Iling Jr,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,629,285,628,287,618,281,632,288,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,172,108,628,287,628,287,541,224,0.0,0.0,3,0.0,0.12500000000000006,0.046511627906976744,3,Midfielder,2,Aston Villa
50.0,0.0,226944,0,0,0,0,0,3,0.0,0.0,0,Boubacar,0.0,42,False,Knee injury - 50% chance of playing,2024-07-17T13:30:04.954579Z,5.0,226944.jpg,,Kamara,0.0,False,,d,2,7,0,93,26,174,37,0.0,0.0,Kamara,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,595,266,597,269,579,259,600,270,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,228,146,598,269,598,269,642,291,0.0,0.0,3,0.0,0.0892857142857143,0.046511627906976744,3,Midfielder,2,Aston Villa
0.0,0.0,465390,0,0,0,0,0,2,0.0,0.0,0,Kaine,0.0,43,False,Has joined Preston North End for the rest of the season,2024-08-09T11:14:21.895838Z,4.0,465390.jpg,,Kesler-Hayden,0.0,False,,u,2,7,0,0,0,976,109,0.0,0.0,Kesler-Hayden,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,408,140,392,140,340,116,414,141,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,627,190,413,137,413,137,594,198,0.0,0.0,2,0.0,0.0,0.046511627906976744,2,Defender,2,Aston Villa
,,199798,0,0,0,0,0,2,1.7,2.2,2,Ezri,1.7,44,False,,,4.5,199798.jpg,0.018518518518518517,Konsa Ngoyo,13.2,False,,a,2,7,5,323446,73471,240613,58682,0.4,1.1,Konsa,270,0,0,0,4,0,0,0,0,0,0,0,30,43.0,15.5,9.0,6.8,3,0.07,0.02,0.09,3.78,129,52,173,46,180,46,179,56,,,,,,,0.02,0.0,0.01,0.03,1.26,1.33,383,66,166,49,181,51,28,8,1.0,0.0,2,1.1111111111111112,0.04464285714285715,0.16279069767441862,2,Defender,2,Aston Villa
,,441302,-1,1,-1,1,0,2,1.0,1.5,1,Ian,1.0,45,False,,,4.9,441302.jpg,0.07317073170731707,Maatsen,2.7,False,,a,2,7,3,33570,5794,125598,29848,0.2,0.6,Maatsen,41,0,0,0,1,0,0,0,0,0,0,0,7,15.2,25.6,2.0,4.3,0,0.01,0.13,0.14,1.49,247,95,129,29,272,86,241,84,,,,,,,0.02,0.0,0.29,0.31,3.27,2.2,325,39,241,79,297,101,112,44,0.0,0.0,2,0.6122448979591836,0.0803571428571429,0.11627906976744186,2,Defender,2,Aston Villa
0.0,0.0,462381,0,0,0,0,0,1,0.0,0.0,0,Filip,0.0,46,False,Has joined MK Dons for the rest of the season,2024-07-18T09:50:40.812599Z,4.0,462381.jpg,,Marschall,0.0,False,,u,2,7,0,0,0,36,8,0.0,0.0,Marschall,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,404,48,388,26,336,23,410,48,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,623,62,409,48,409,48,651,68,0.0,0.0,1,0.0,0.0,0.046511627906976744,1,Goalkeeper,2,Aston Villa
,,98980,0,0,0,0,0,1,2.0,2.5,2,Emiliano,2.0,47,False,,,5.0,98980.jpg,0.022222222222222223,Martínez Romero,13.1,False,,a,2,7,6,256806,70171,260224,66373,0.4,1.2,Martinez,270,0,0,0,4,0,0,0,0,0,7,0,33,59.8,0.0,0.0,6.0,3,0.0,0.0,0.0,3.78,69,10,587,63,566,63,207,10,,,,,,,0.0,2.33,0.0,0.0,1.26,1.33,193,7,148,16,162,21,29,5,1.0,0.0,1,1.2,0.0892857142857143,0.18604651162790697,1,Goalkeeper,2,Aston Villa
,,122806,0,0,0,0,0,3,2.0,2.5,1,John,2.0,48,False,,,5.5,122806.jpg,0.027906976744186046,McGinn,1.9,False,,a,2,7,6,30202,7048,68538,16622,0.4,1.1,McGinn,215,0,0,1,2,0,0,0,1,0,0,0,23,3.8,10.4,25.0,3.9,3,0.39,0.03,0.42,2.09,320,158,224,135,120,76,248,120,,,3.0,,,,0.16,0.0,0.01,0.17,0.87,0.84,109,66,160,80,174,87,143,47,1.26,0.42,3,1.0909090909090908,0.13392857142857145,0.18604651162790697,3,Midfielder,2,Aston Villa
50.0,0.0,149484,0,0,-1,1,0,2,0.0,0.0,0,Tyrone,0.0,49,False,Knee injury - 50% chance of playing,2024-08-05T15:00:04.309727Z,4.4,149484.jpg,,Mings,0.1,False,,d,2,7,0,374,180,3620,460,0.0,0.0,Mings,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,441,166,426,166,380,148,447,167,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,529,126,447,164,447,164,522,182,0.0,0.0,2,0.0,0.035714285714285754,0.046511627906976744,2,Defender,2,Aston Villa
,,578545,0,0,0,0,0,2,1.0,1.5,1,Kosta,1.0,50,False,,,4.0,578545.jpg,0.03225806451612903,Nedeljković,2.0,False,,a,2,7,3,196563,29710,51326,16155,0.2,0.8,Nedeljkovic,93,0,0,0,2,0,0,0,0,0,0,0,13,22.2,6.3,0.0,2.9,0,0.0,0.02,0.02,1.84,216,80,239,71,365,136,270,88,,,,,,,0.0,0.0,0.02,0.02,1.78,1.94,654,212,224,70,252,82,139,51,0.0,0.0,2,0.75,0.0,0.11627906976744186,2,Defender,2,Aston Villa
