id,first_name,second_name,team,element_type
124,Billy,Gilmour,5,3
125,Pascal,Groß,5,3
126,Jack,Hinshelwood,5,3
127,Ibrahim,Osman,5,3
128,Igor Julio,dos Santos de Paulo,5,2
129,João Pedro,Junqueira de Jesus,5,4
130,Kacper,Kozłowski,5,3
131,Tariq,Lamptey,5,2
132,Solly,March,5,3
133,Adrian,Mazilu,5,3
134,James,Milner,5,3
135,Yankuba,Minteh,5,3
136,Mitoma,Kaoru,5,3
137,Jakub,Moder,5,3
138,Mark,O’Mahony,5,4
139,Odeluga,Offiah,5,2
140,Cameron,Peupion,5,3
141,Jeremy,Sarmiento Morante,5,3
142,Jason,Steele,5,1
143,Deniz,Undav,5,4
144,Jan Paul,van Hecke,5,2
145,Joël,Veltman,5,2
146,Bart,Verbruggen,5,1
147,Adam,Webster,5,2
148,Danny,Welbeck,5,4
149,Mats,Wieffer,5,3
595,Brajan,Gruda,5,3
600,Yasin,Ayari,5,3
601,Andrew,Moran,5,3
615,Carl,Rushworth,5,1
618,Georginio,Rutter,5,3
628,Ferdi,Kadioglu,5,2
629,Matt,O'Riley,5,3
150,Andrey,Nascimento dos Santos,6,3
151,Ângelo Gabriel,Borges Damaceno,6,3
153,Benoît,Badiashile,6,2
154,Lucas,Bergström,6,1
155,Marcus,Bettinelli,6,1
157,Moisés,Caicedo Corozo,6,3
158,Cesare,Casadei,6,3
159,Trevoh,Chalobah,6,2
160,Ben,Chilwell,6,2
161,Carney,Chukwuemeka,6,3
162,Levi,Colwill,6,2
163,Marc,Cucurella Saseta,6,2
164,David Datro,Fofana,6,4
165,Deivid Washington,de Souza Eugênio,6,4
166,Kiernan,Dewsbury-Hall,6,3
167,Axel,Disasi,6,2
168,Enzo,Fernández,6,3
169,Conor,Gallagher,6,3
170,Alfie,Gilchrist,6,2
171,Malo,Gusto,6,2
172,Reece,James,6,2
173,Omari,Kellyman,6,3
174,Roméo,Lavia,6,3
175,Romelu,Lukaku Bolingoli,6,4
176,Malang,Sarr,6,2
177,Noni,Madueke,6,3
178,Marc,Guiu Paz,6,4
179,Mykhailo,Mudryk,6,3
180,Nicolas,Jackson,6,4
181,Christopher,Nkunku,6,3
182,Cole,Palmer,6,3
183,Đorđe,Petrović,6,1
184,Renato,Palma Veiga,6,3
185,Robert,Sánchez,6,1
187,Tosin,Adarabioyo,6,2
189,Wesley,Fofana,6,2
560,Pedro,Lomba Neto,6,3
575,Caleb,Wiley,6,2
581,Filip,Jørgensen,6,1
621,João,Félix Sequeira,6,3
11,Eddie,Nketiah,7,4
190,Naouirou,Ahamada,7,3
193,Cheick,Doucouré,7,3
194,Chris,Richards,7,2
195,Chadi,Riad Dnanou,7,2
196,Nathaniel,Clyne,7,2
197,Malcolm,Ebiowei,7,3
199,Eberechi,Eze,7,3
200,Marc,Guéhi,7,2
201,Dean,Henderson,7,1
202,Rob,Holding,7,2
203,Will,Hughes,7,3
205,Daichi,Kamada,7,3
206,Jefferson,Lerma Solís,7,3
207,Jean-Philippe,Mateta,7,4
208,Matheus,França de Oliveira,7,3
209,Remi,Matthews,7,1
210,Tyrick,Mitchell,7,2
211,Daniel,Muñoz,7,2
212,David,Ozoh,7,3
213,Jesurun,Rak-Sakyi,7,3
214,Jeffrey,Schlupp,7,3
215,Joel,Ward,7,2
216,Adam,Wharton,7,3
445,Matt,Turner,7,1
585,Ismaïla,Sarr,7,3
156,Armando,Broja,8,4
