season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,id,first_name,second_name,unique_id,position,points_per_game,value_for_money,scaled_cost,scaled_points
2015/16,80146,6.0,5.4,86,2349,7,0,4,51,0,0,0,6,1,0,13,329,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,192,Jordan,Ayew,80146_2015/16,MID,0.036611323967645805,15.925925925925926,0.148936170212766,0.2838283828382838
2016/17,80146,5.0,5.0,39,867,1,4,5,7,0,0,0,1,0,0,2,122,141.0,122.5,219.0,47.9,0,0.0,0.0,0.0,0.0,192,Jordan,Ayew,80146_2016/17,MID,0.04498269896193772,7.8,0.10638297872340424,0.12871287128712872
2017/18,80146,5.0,5.4,108,2850,7,2,7,49,0,0,0,2,1,0,12,382,562.2,350.4,944.0,185.8,0,0.0,0.0,0.0,0.0,192,Jordan,Ayew,80146_2017/18,MID,0.037894736842105266,20.0,0.148936170212766,0.3564356435643564
2018/19,80146,6.0,5.7,46,1176,1,3,5,13,0,0,0,3,0,0,2,114,140.2,207.3,421.0,76.7,0,0.0,0.0,0.0,0.0,192,Jordan,Ayew,80146_2018/19,MID,0.0391156462585034,8.070175438596491,0.18085106382978727,0.15181518151815182
2019/20,80146,5.0,5.1,132,3148,9,3,12,45,0,0,0,6,0,0,19,443,597.4,445.6,885.0,192.4,0,0.0,0.0,0.0,0.0,192,Jordan,Ayew,80146_2019/20,MID,0.04193138500635324,25.88235294117647,0.11702127659574463,0.43564356435643564
2020/21,80146,6.0,5.6,70,2086,1,4,6,42,0,0,0,4,0,0,2,216,278.6,238.6,451.0,96.6,0,0.0,0.0,0.0,0.0,192,Jordan,Ayew,80146_2020/21,MID,0.03355704697986577,12.5,0.17021276595744678,0.23102310231023102
2021/22,80146,6.0,5.8,77,2012,3,4,9,31,0,0,0,2,0,0,3,281,349.2,361.3,491.0,120.1,0,0.0,0.0,0.0,0.0,192,Jordan,Ayew,80146_2021/22,MID,0.03827037773359841,13.275862068965518,0.19148936170212766,0.25412541254125415
2022/23,80146,5.5,5.2,104,2708,4,3,8,41,0,0,0,5,0,0,4,332,494.4,468.2,439.0,140.3,31,3.13,2.52,5.65,41.13,192,Jordan,Ayew,80146_2022/23,MID,0.03840472673559823,20.0,0.12765957446808512,0.3432343234323432
2023/24,80146,5.5,5.3,109,2540,4,7,11,39,0,0,0,7,1,0,3,325,517.6,445.2,550.0,151.1,30,3.97,2.55,6.52,36.77,192,Jordan,Ayew,80146_2023/24,MID,0.042913385826771656,20.566037735849058,0.1382978723404255,0.35973597359735976
2022/23,244930,5.0,4.9,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.3,0.0,0.0,0,0.0,0.0,0.0,0.23,435,Alex,Mighten,244930_2022/23,MID,0.14285714285714285,0.2040816326530612,0.09574468085106386,0.0033003300330033004
