id,stats,explain
21,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 2, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
22,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 2, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
23,"{'minutes': 10, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 2, 'influence': '4.2', 'creativity': '0.3', 'threat': '0.0', 'ict_index': '0.5', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.15', 'total_points': 1, 'in_dreamteam': False}","[{'fixture': 2, 'stats': [{'identifier': 'minutes', 'points': 1, 'value': 10}]}]"
24,"{'minutes': 90, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 1, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 22, 'influence': '5.8', 'creativity': '1.3', 'threat': '8.0', 'ict_index': '1.5', 'starts': 1, 'expected_goals': '0.07', 'expected_assists': '0.06', 'expected_goal_involvements': '0.13', 'expected_goals_conceded': '0.47', 'total_points': 6, 'in_dreamteam': False}","[{'fixture': 2, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 90}, {'identifier': 'clean_sheets', 'points': 4, 'value': 1}]}]"
25,"{'minutes': 68, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 1, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 22, 'influence': '7.2', 'creativity': '4.9', 'threat': '6.0', 'ict_index': '1.8', 'starts': 1, 'expected_goals': '0.00', 'expected_assists': '0.04', 'expected_goal_involvements': '0.04', 'expected_goals_conceded': '0.32', 'total_points': 6, 'in_dreamteam': False}","[{'fixture': 2, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 68}, {'identifier': 'clean_sheets', 'points': 4, 'value': 1}]}]"
26,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 7, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
27,"{'minutes': 19, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 4, 'influence': '1.0', 'creativity': '0.1', 'threat': '22.0', 'ict_index': '2.3', 'starts': 0, 'expected_goals': '0.19', 'expected_assists': '0.00', 'expected_goal_involvements': '0.19', 'expected_goals_conceded': '0.00', 'total_points': 1, 'in_dreamteam': False}","[{'fixture': 5, 'stats': [{'identifier': 'minutes', 'points': 1, 'value': 19}]}]"
28,"{'minutes': 73, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 1, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 1, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 1, 'influence': '0.0', 'creativity': '30.5', 'threat': '13.0', 'ict_index': '4.2', 'starts': 1, 'expected_goals': '0.21', 'expected_assists': '0.21', 'expected_goal_involvements': '0.42', 'expected_goals_conceded': '1.39', 'total_points': 1, 'in_dreamteam': False}","[{'fixture': 7, 'stats': [{'identifier': 'minutes', 'points': 2, 'value': 73}, {'identifier': 'yellow_cards', 'points': -1, 'value': 1}]}]"
29,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 7, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
30,"{'minutes': 0, 'goals_scored': 0, 'assists': 0, 'clean_sheets': 0, 'goals_conceded': 0, 'own_goals': 0, 'penalties_saved': 0, 'penalties_missed': 0, 'yellow_cards': 0, 'red_cards': 0, 'saves': 0, 'bonus': 0, 'bps': 0, 'influence': '0.0', 'creativity': '0.0', 'threat': '0.0', 'ict_index': '0.0', 'starts': 0, 'expected_goals': '0.00', 'expected_assists': '0.00', 'expected_goal_involvements': '0.00', 'expected_goals_conceded': '0.00', 'total_points': 0, 'in_dreamteam': False}","[{'fixture': 7, 'stats': [{'identifier': 'minutes', 'points': 0, 'value': 0}]}]"
